Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Марксисткая,таганская,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Марксисткая,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Серпуховская,,,,,,,,,,,,,,,,,,
,Добрынинская,Серпуховская,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Добрынинская,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Полянка,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Смоленская,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
,Баррикадная,,,,,,,,,,,,,,,,,,
