Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Юstyle,Александровский сад,3 минуты,7 (906) 037-03-88,https://yandex.ru/maps/org/yustyle/109990972743/?ll=37.597664%2C55.752538&z=15,3.3,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Белая студия ,Александровский сад,3 минуты,79998894919,https://belaya.studio/,4.7,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Сity Nails,Библиотека имени Ленина,7 минут,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,1,0
7 Красок,Библиотека имени Ленина,6 минут,7 (495) 120-71-77,https://7kpacok.ru/,4.7,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Bless My Nails,Библиотека имени Ленина,6 минут,7 (995) 117 77 30,https://www.blessmynails.ru/,4.9,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Juvi Clinic,Библиотека имени Ленина,6 минут,7 (925) 446-64-46,https://juviclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,0,1
12Studio,Библиотека имени Ленина,7 минут,7 (926) 758-00-12,https://12studio-arbat.ru/,4.6,1,1,1,1,1,0,0,0,1,1,1,1,1,1
Лето,Библиотека имени Ленина,7 минут,7 (495) 215-18-80,https://l-e-t-o.ru/,4.9,1,1,1,1,1,0,0,0,1,1,0,1,0,1
Вай Тай ,Библиотека имени Ленина,5 минут,7 (495) 565-32-95,https://waithaispa.ru/,5,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Aldo Coppola,Библиотека имени Ленина,8 минут ,7 (905) 591-97-52,https://aldocoppola.ru/,4.4,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Вау! Nails,Библиотека имени Ленина,3 минуты,7 (906) 037-03-88,https://yclients.com/salon/vau-nail/117287/#tab=price,4.8,1,1,1,1,1,1,0,0,1,1,0,0,0,0
